density,p_random,min_tenure,u_threshold,alpha,Run,dissimilarity,exposure
0.9314453125,0.13730468750000002,4.48828125,7.888671875,0.43984375,43.0,0.33030739114845287,0.5485606945759507
0.9314453125,0.06699218750000001,4.62890625,7.888671875,0.43984375,44.0,0.6912231559290382,0.43250297260385373
0.9314453125,0.06699218750000001,4.48828125,9.353515625,0.43984375,45.0,0.6276577033654659,0.3745571303705713
0.9314453125,0.06699218750000001,4.48828125,7.888671875,0.49140625000000004,46.0,0.6486486486486487,0.3578180269741136
0.9314453125,0.06699218750000001,4.48828125,7.888671875,0.43984375,47.0,0.8102564102564104,0.22642998027613415
0.7966796875,0.0810546875,5.75390625,9.041015625,0.41640625,48.0,0.8102564102564104,0.22642998027613415
0.8376953125,0.0810546875,5.75390625,9.041015625,0.41640625,49.0,0.6486486486486487,0.3578180269741136
0.7966796875,0.16074218750000002,5.75390625,9.041015625,0.41640625,50.0,0.6276577033654659,0.3745571303705713
0.7966796875,0.0810546875,5.61328125,9.041015625,0.41640625,51.0,0.6912231559290382,0.43250297260385373
0.7966796875,0.0810546875,5.75390625,9.451171875,0.41640625,52.0,0.33030739114845287,0.5485606945759507
0.7966796875,0.0810546875,5.75390625,9.041015625,0.36484375,53.0,0.6888888888888888,0.35394649794649796
0.7966796875,0.16074218750000002,5.61328125,9.451171875,0.36484375,54.0,0.6276577033654659,0.3745571303705713
0.8376953125,0.0810546875,5.61328125,9.451171875,0.36484375,55.0,0.6912231559290382,0.43250297260385373
0.8376953125,0.16074218750000002,5.75390625,9.451171875,0.36484375,56.0,0.8102564102564104,0.22642998027613415
0.8376953125,0.16074218750000002,5.61328125,9.041015625,0.36484375,57.0,0.6486486486486487,0.3578180269741136
0.8376953125,0.16074218750000002,5.61328125,9.451171875,0.41640625,58.0,0.6276577033654659,0.3745571303705713
0.8376953125,0.16074218750000002,5.61328125,9.451171875,0.36484375,59.0,0.6912231559290382,0.43250297260385373
0.9216796875,0.1560546875,4.25390625,7.791015625,0.11640625,60.0,0.33030739114845287,0.5485606945759507
0.7126953125,0.1560546875,4.25390625,7.791015625,0.11640625,61.0,0.6888888888888888,0.35394649794649796
0.9216796875,0.08574218750000001,4.25390625,7.791015625,0.11640625,62.0,0.6276577033654659,0.3745571303705713
0.9216796875,0.1560546875,4.11328125,7.791015625,0.11640625,63.0,0.6912231559290382,0.43250297260385373
0.9216796875,0.1560546875,4.25390625,8.201171875,0.11640625,64.0,0.6912231559290382,0.43250297260385373
0.9216796875,0.1560546875,4.25390625,7.791015625,0.66484375,65.0,0.6276577033654659,0.3745571303705713
0.9216796875,0.08574218750000001,4.11328125,8.201171875,0.66484375,66.0,0.6888888888888888,0.35394649794649796
0.7126953125,0.1560546875,4.11328125,8.201171875,0.66484375,67.0,0.33030739114845287,0.5485606945759507
0.7126953125,0.08574218750000001,4.25390625,8.201171875,0.66484375,68.0,0.6486486486486487,0.3578180269741136
0.7126953125,0.08574218750000001,4.11328125,7.791015625,0.66484375,69.0,0.8102564102564104,0.22642998027613415
0.7126953125,0.08574218750000001,4.11328125,8.201171875,0.11640625,70.0,0.6888888888888888,0.35394649794649796
0.7126953125,0.08574218750000001,4.11328125,8.201171875,0.66484375,71.0,0.33030739114845287,0.5485606945759507
0.8591796875,0.11855468750000002,5.00390625,8.416015625,0.26640625,72.0,0.6912231559290382,0.43250297260385373
0.7751953125,0.11855468750000002,5.00390625,8.416015625,0.26640625,73.0,0.6276577033654659,0.3745571303705713
0.8591796875,0.1982421875,5.00390625,8.416015625,0.26640625,74.0,0.6888888888888888,0.35394649794649796
0.8591796875,0.11855468750000002,3.36328125,8.416015625,0.26640625,75.0,0.33030739114845287,0.5485606945759507
0.8591796875,0.11855468750000002,5.00390625,7.576171875,0.26640625,76.0,0.6486486486486487,0.3578180269741136
0.8591796875,0.11855468750000002,5.00390625,8.416015625,0.51484375,77.0,0.8102564102564104,0.22642998027613415
0.8591796875,0.1982421875,3.36328125,7.576171875,0.51484375,78.0,0.6888888888888888,0.35394649794649796
0.7751953125,0.11855468750000002,3.36328125,7.576171875,0.51484375,79.0,0.33030739114845287,0.5485606945759507
